title,source_document_url,type,uuid,language,published_at,evaluation_type,sector,series,series_number,datainnsamling 1,datainnsamling 2,datainnsamling 3,datainnsamling 4,datainnsamling 5,method,length
Vil tiltakene virke?,,Evaluering,561575ad-ef04-4dd2-b89c-6d3afd9f3d26,nob,2012,Forhåndsevaluering,Offentlig forvaltning,Fafo-rapport,59/2012,Intervju,Spørreskjema,Dokumentstudier,Statistikk,,,286781
Lønnstakere og pensjonisters bruk og oppfatning av leveringsfritaket 2008 og 2009 ,,Evaluering,5633bdc7-1d07-4a1d-b0af-f71f4afb8f71,nob,2009,Underveisevaluering,Økonomi,,,Intervju,,,,,,58148
Videre analyser av samfunnsøkonomisk nytte av tilskudd til etterinstallering av heis,,Evaluering,5639ac46-ef00-4b89-a478-955b44376c83,nob,2016,Samfunnsøkonomisk analyse,Bolig og eiendom,,,Spørreskjema,Dokumentstudier,Statistikk,,,,85272
"Fjorden, byen og operaen",,Evaluering,563d223b-21d9-460a-a131-15591d06bd9d,nob,2012,Etterevaluering,"Kultur, fritid og livssyn",Concept rapport,28,Intervju,Dokumentstudier,Observasjon,,,,354427
Evaluering av den nasjonale rektorutdannningen 2015-2019. Delrapport 2,,Evaluering,565f8773-d0ba-4155-b540-4117aba287a5,nob,2018,Underveisevaluering,Utdanning og forskning,,,Spørreskjema,Dokumentstudier,,,,,289946
Riksrevisjonens undersøkelse av effekten store investeringer i jernbanen har på togtilbudet,,Riksrevisjonsrapport,5675514c-1eb0-4feb-ab88-10f4cd0f5b9f,nob,2017,Etterevaluering,Transport og kommunikasjon,Dokument, 3:11 (2016-2017),Intervju,Dokumentstudier,Statistikk,,,,217275
"Evaluering av tobakkskampanjen ""Røyken tar pusten fra deg""",,Evaluering,56acf2e3-41d4-4cf2-b1f2-d4f51c09149f,nob,2006,Underveisevaluering,Helse og omsorg,SIRUS skrifter,mar.06,Intervju,,,,,,167634
Arbeidsinkludering og arbeidsmotivasjon i et komparativt perspektiv,,Evaluering,56b38885-4d39-4dda-aef3-aa932496ae39,nob,2012,Tidsuavhengig evaluering,Arbeid og velferd,,,Dokumentstudier,Statistikk,,,,,71288
De frivillige hjelpeorganisasjonenes utprøving av Nødnett,,Evaluering,56d00839-b8e5-4572-8dec-370c1bbe4100,nob,2012,Etterevaluering,Samfunnssikkerhet,,,Intervju,Spørreskjema,Dokumentstudier,Statistikk,,,51225
Kompetanseløft for støttekontaktordningen,,Evaluering,56e34414-cd38-48bc-b105-9ae428677614,nob,2007,Tidsuavhengig evaluering,Arbeid og velferd,NF-rapport,jul.07,Intervju,Spørreskjema,,,,Tilfeldig utvalgsmetode. ,219396
Analyse av utviklingen i statens utgifter til fri rettshjelp og særskilte straffesaksutgifter i perioden 2008 til 2014,,Evaluering,56f7bce0-6d3d-453e-9994-7fd8da482ea9,nob,2016,Samfunnsøkonomisk analyse,Lov og rett,Menon-publikasjon,okt.16,Intervju,Statistikk,,,,"Statistisk analyse (regresjonsnalyse), teoretisk analyse, intervjuer.",179484
Benchmark av lønn- og regnskapsfunksjonen,,Evaluering,56fd008d-e8ef-44aa-aae5-047490442ccf,nob,2009,Tidsuavhengig evaluering,Økonomi,,,Statistikk,,,,,,90337
Evaluering av egenmeldingsforsøket i Kristiansand,,Evaluering,57009f7d-e797-4b81-957c-01892f99de90,nob,2005,Underveisevaluering,Arbeid og velferd,SINTEF rapport,A055011,Spørreskjema,,,,,Kvasi-eksperimentelt intervensjons-design,166388
Evaluering av FUGE,,Evaluering,57083ac8-1539-4fe9-a93b-e073d488cde1,eng,2011,Etterevaluering,Helse og omsorg,,,Intervju,Spørreskjema,Dokumentstudier,Statistikk,,,469970
Undersøkelse av vold og uønskede hendelser i asylmottak,,Evaluering,5725c436-52f3-4c83-a2f1-749b237f53b1,nob,2014,Underveisevaluering,Innvandring og inkludering,Proba-rapport,2014-08,Intervju,Spørreskjema,Dokumentstudier,Statistikk,Observasjon,,328098
Evaluering av forsøksordning med Trafikklederlos ved Kvitsøy trafikksentral (VTS),,Evaluering,573307f2-731b-4eba-8b67-5505cf7fe64c,nob,2005,Samfunnsøkonomisk analyse,Offentlig forvaltning,TØI-rapport,781/2005,Dokumentstudier,,,,,,99283
"""Kunstnerens beste venn""",,Evaluering,573594cf-38d9-4dbb-803d-31ec27edb3a9,nob,2004,Underveisevaluering,"Kultur, fritid og livssyn",,,Intervju,Dokumentstudier,,,,,161717
Verdiskapingsevnen i norske storbyregioner 2011,,Evaluering,573a9657-7a7e-49cc-95df-82b0fb54e779,nob,2011,Underveisevaluering,Næringsliv,Rapport IRIS,2011/159,Dokumentstudier,Statistikk,,,,,NULL
Evaluation of Norwegian Health Sector Support to Botswana,,Evaluering,573d25ac-5612-4117-a59f-feeff029ec6f,eng,2011,Etterevaluering,Internasjonalt,,,Intervju,Dokumentstudier,Statistikk,,,,248812
Følgeevaluering av forsøk med ny ansvarsdeling mellom stat og kommune på barnevernområdet - tredje delrapport,,Evaluering,575ece1c-f9b8-4ecf-8d30-ed03be4fee11,nob,2018,Underveisevaluering,Familie og oppvekst,,,Intervju,Dokumentstudier,Statistikk,,,Intervju: Strategisk utvalg (informanter ble valgt ut av evaluator i dialog med kommunene) Statistikk: Tilgjengelig statistikk (SSB) og innhetet rapportering fra kommunene. Frekvensanalyser.,458593
Det norske sparemarkedet: Konkurransen og effektiviteten i markedet for verdipapirfond og andre spareprodukter,,Evaluering,5794bdcf-9f5d-4964-8800-83ef254f39ef,nob,2008,Underveisevaluering,Offentlig forvaltning,,,Dokumentstudier,Statistikk,Observasjon,,,,126490
Work in Progress,,Evaluering,57975d0f-8a13-4492-98ba-004c18e0c45e,eng,2015,Etterevaluering,Internasjonalt,,,Intervju,Spørreskjema,Dokumentstudier,,,,167868
Arbeid som årsak til muskelskjelettlidelser,,Evaluering,57b14439-2ab0-41d8-917f-b70c816ccea6,nob,2008,Tidsuavhengig evaluering,Arbeid og velferd,STAMI-rapport,22/2008,Dokumentstudier,,,,,Systematisk kritisk gjennomgang av ulike undersøkelser og tidligere forskning.,245998
Riksrevisjonens undersøkelse av Norges internasjonale klima- og skogsatsing,,Riksrevisjonsrapport,57c35476-71f7-4bc9-bcfd-c82f416377a8,nob,2018,Etterevaluering,Konstitusjonelle organer ,Dokument, 3:10 (2017-2018),Intervju,Dokumentstudier,Statistikk,,,,354220
Muskxylen og muskketon i produkter i 2007,,Evaluering,57ff2c51-6e49-4662-9ee1-e77a4eec45c6,nob,2008,Underveisevaluering,Miljø,,,Dokumentstudier,Observasjon,,,,,19725
Kommunal organisering 2008,https://www.regjeringen.no/no/dokumenter/kommunal-organisering-2008/id535833/,Ukategorisert,5819d8ae-63b5-4cc4-b239-f84070132175,nob,2008,Underveisevaluering,Kommuner og distrikter,NIBR-rapport,2008:20:00,Spørreskjema,,,,,,468007
Evaluering av Kompetanse for framtidens barnehage,,Evaluering,583bb1a7-433e-403b-b9d9-97ee1a1b7160,nob,2017,Underveisevaluering,Utdanning og forskning,TFOU-rapport,2017:09:00,Intervju,Spørreskjema,Dokumentstudier,,,"Datamaterialet består av dokumentanalyser av ABLU-tilbudene, spørreundersøkelser til ABLU-studenter og TIB-studenter, casestudier i tre barnehager med ABLU-studenter og intervjuer med fylkesmannsembetene, samt data innsamlet gjennom ",306510
Suksessrike distriktskommuner,,Evaluering,585a5a16-ecb2-4934-94cb-5c05f3241fd8,nob,2012,Samfunnsøkonomisk analyse,Kommuner og distrikter,Rapport,303,Intervju,Dokumentstudier,,,,"Nettverks- og organisasjonsanalyser, fokusintervjuer",235833
Øvelse nødkommunikasjon 2010,,Evaluering,58699a4c-03d4-438c-9063-0f1ea595f7aa,nob,2010,Etterevaluering,Offentlig forvaltning,,,Spørreskjema,Observasjon,,,,,44615
Konklusjoner og erfaringer fra en evalueringsprosess,,Evaluering,586ee950-64f9-4397-a115-bf707c8827b1,nob,2002,Etterevaluering,Utdanning og forskning,,,Dokumentstudier,,,,,,59023
"No way in, no way out?",,Evaluering,58744297-1f67-45b0-a925-7720f893eb48,nob,2011,Underveisevaluering,Innvandring og inkludering,Fafo-rapport,2011:03:00,Intervju,,,,,,267427
Opptrappingsplanen for psykisk helse og forskningen,,Evaluering,5874fc41-b1cc-495e-8889-1416b8cfce78,nob,2009,Etterevaluering,Utdanning og forskning,Rapport,aug.09,Dokumentstudier,,,,,,125222
Effekter av tiltak på sykefravær,,Evaluering,5893bada-f023-48a4-bcc7-2816998cb320,nob,2008,Tidsuavhengig evaluering,Arbeid og velferd,TØI-rapport,992/2008,Dokumentstudier,,,,,Metaanalyse,87780
Kvalitet og kvantitet,,Evaluering,58acc9ec-d530-4669-9f2c-32f7fa4736d0,nob,2009,Tidsuavhengig evaluering,Helse og omsorg,NOVA-rapport,feb.09,Spørreskjema,,,,,,284783
Menighetenes samvirke med hjemmet : evalueringsforskning på trosopplæringsreformen,,Evaluering,58bba9a9-afc2-49bb-9ab7-4ab5936c2e83,nob,2012,Underveisevaluering,"Kultur, fritid og livssyn",Notat,jan.12,Intervju,Spørreskjema,Statistikk,,,"Datakilder, utforsket og analysert gjennom ulike analyseverktøy. Intervjuer og observasjoner, spørresundersøkelse foreldre og ansatte.",263239
Midterm evaluation of the NORRUSS programme,,Evaluering,58c9d03b-80a3-4e3f-97cf-8750750cf344,eng,2014,Underveisevaluering,Internasjonalt,,,Intervju,Spørreskjema,Dokumentstudier,,,,186015
"Riksrevisjonen legger fram: 1. Ekstrakt av Norges statsregnskap og regnskap for administrasjonen av Svalbard for budsjetterminen 1999, 2. Saker for desisjon av Stortinget og saker til orientering",,Riksrevisjonsrapport,58cbe0a7-360a-45a0-bbeb-9fe5825b80b5,nob,2000,Etterevaluering,Konstitusjonelle organer ,Dokument,Nr. 1 (2000-2001),Dokumentstudier,,,,,,371047
Evaluering av endringer i kjøpsavgiften for nye biler fra 2006-2011,,Evaluering,590067ed-151b-481e-8480-50c64f8ead2a,nob,2013,Samfunnsøkonomisk analyse,Økonomi,Rapport,42/2012,Statistikk,,,,,Økonometrisk analyse,237855
Utdanning blant styrere og pedagogiske ledere i barnehager,,Evaluering,59132581-f013-410a-9e76-1c616e586e02,nob,2007,Tidsuavhengig evaluering,Utdanning og forskning,Prosjektrapport,aug.07,Spørreskjema,,,,,,NULL
Forslag til endring i planloven,,Evaluering,5915a0a0-6dde-4574-83d8-bcd9582bd435,nob,2007,Forhåndsevaluering,Offentlig forvaltning,ECON-notat,2007-023,Dokumentstudier,,,,,,21216
Et trappetrinn opp i livet,https://www.fafo.no/zoo-publikasjoner/fafo-rapporter/et-trappetrinn-opp-i-livet,Ukategorisert,593da2b4-f16a-433a-9711-bc7fef6ef2a3,nob,2008,Etterevaluering,Arbeid og velferd,Fafo-rapport,28/2008,Intervju,Spørreskjema,Dokumentstudier,,,,286362
Frivillige kommunesammenslutninger 2005-2008,https://www.regjeringen.no/no/dokumenter/frivillige-kommunesammenslutninger-2005-/id590119/,Ukategorisert,595207be-941a-43e2-acbe-89f69c1c5120,nob,2010,Etterevaluering,Offentlig forvaltning,TF-rapport,258/2009,Intervju,Spørreskjema,Dokumentstudier,Statistikk,,"Intervju med strategisk valgte personer i kommunene, og telefonintervju med representativt utvalg blant innbyggerne i alle kommunene.",296440
"The Making of UNHCR´s Guidance and it's Implementation in the National Jurisdiction of The United Kingdom, Norway and Sweden",,Evaluering,5960c0ed-4580-479d-bae9-7cc876ffae6a,eng,2010,Tidsuavhengig evaluering,Innvandring og inkludering,,,Intervju,Dokumentstudier,,,,,384257
Konseptvalgutredning E6 Mørsvikbotn - Ballangen,,KVU/KS1/KS2,5986608a-4876-4664-924e-4acd0c2b9bc5,nob,2012,Forhåndsevaluering,Transport og kommunikasjon,,,Dokumentstudier,Statistikk,Observasjon,,,,84557
Verdiskaping på tvers,,Evaluering,59979c0c-d4e3-431b-afe5-34ddc74b5601,nob,2010,Underveisevaluering,"Kultur, fritid og livssyn",NF-rapport,mai.10,Intervju,Dokumentstudier,,,,,86790
Evaluering av Innovasjon Norge,,Evaluering,59996e9a-400c-4b9f-9706-6cf1ef7b878a,nob,2010,Underveisevaluering,Offentlig forvaltning,Econ-rapport,2010-054,Intervju,Spørreskjema,Dokumentstudier,,,,782329
Resultatmåling av brukerstyrt forskning 2010,,Evaluering,599df98e-4f0f-4c66-9f71-c4267d198693,nob,2012,Underveisevaluering,Utdanning og forskning,Rapport / Møreforsking Molde,1204,,,,,,,244716
Produksjonsreguleringer i havbruk : tilleggsutredning,,Evaluering,59c64074-fcc8-4867-a524-9f80be7978dc,nob,2013,Samfunnsøkonomisk analyse,"Mat, fisk og landbruk",,,,,,,,Utredningen er basert på 6 ulike scenarier definert av Kontali Analyse og SINTEF Fisker og Havbruk i fellesskap. Kontali Analyse AS sine produksjonsmodeller er grunnlag for scenariene.,126245
Riksrevisjonens oppfølging av forvaltningsrevisjoner som er behandlet av Stortinget,,Riksrevisjonsrapport,59ce4969-ce74-434a-85b6-2f45419c2cda,nob,2013,Etterevaluering,Konstitusjonelle organer ,Dokument,3:1 (2013&ndash;2014),Dokumentstudier,,,,,,138060
Riksrevisjonens undersøkelse vedrørende resultatoppnåelse i Arbeidstilsynet,,Riksrevisjonsrapport,59cfc142-47c2-40f8-9718-f3188bf54491,nob,2000,Tidsuavhengig evaluering,Konstitusjonelle organer ,Dokument,nr. 3:9 (1999-2000),Intervju,Dokumentstudier,Statistikk,,,,113343
Arbeidsrapport nr. 2 fra forskerprosjektet VRI-Nordland,,Evaluering,59d2ab20-9db3-451f-bdba-7bc3a009a80b,nob,2011,Underveisevaluering,Utdanning og forskning,NF-rapport,okt.11,Dokumentstudier,,,,,,215613
Evaluering av midtmarkering på veg,,Evaluering,59d6424d-ee4e-4810-8694-746f0dbc8ab0,nob,2007,Etterevaluering,Transport og kommunikasjon,Rapport IRIS,2007/155,Spørreskjema,Observasjon,,,,,76944
Evaluering av SMARTRANS-programmet,,Evaluering,59f10fb1-b473-477a-94bd-ca18435ab9ac,nob,2014,Etterevaluering,Utdanning og forskning,Rapport,2014:25:00,Intervju,Spørreskjema,Dokumentstudier,Statistikk,,"Gjennomgang av relevante dokumenter, innsamling og bearbeiding av statistikk fra Forskningsrådet, dybdeintervjuer med utvalgte aktører og en gjennomgang av et utvalg av de prosjekter som er finansiert i SMARTRANS",359225
Effekter av tvangsreturer for assistert retur,,Evaluering,5a0067c8-2790-4f18-981e-c9c1141c52d5,nob,2016,Underveisevaluering,Innvandring og inkludering,,,Statistikk,,,,,,201612
Evaluering av NCE-programmet,,Evaluering,5a1dc97f-6764-4855-b102-95ad085802ec,nob,2011,Underveisevaluering,Næringsliv,Econ-rapport,R-2011-036,Intervju,Dokumentstudier,Statistikk,,,,176588
Årsaker til økt tilstrømming til uføretrygd blant unge : Delrapport,,Evaluering,5a2d2298-802c-4425-88f1-6aac1ac87bdd,nob,2019,Tidsuavhengig evaluering,Arbeid og velferd,,,Dokumentstudier,,,,,Litteraturgjennomgang,132909
Kartlegging av kostnadsgrunnlaget for passasjeravgiftene ved Avinors lufthavner,,Evaluering,5a2de614-22f0-4ebc-a465-0119926f0f75,nob,2010,Samfunnsøkonomisk analyse,Transport og kommunikasjon,TØI-rapport,1100,Intervju,Dokumentstudier,,,,,99636
"A trusted facilitator: An evaluation of Norwegian engagement in the peace process between the Colombian Government and the FARC, 2010–2016",,Evaluering,5a2faf39-db68-4824-88a6-3081e80e6319,eng,2018,Etterevaluering,Internasjonalt,,,Intervju,Dokumentstudier,Statistikk,,,,284563
Pappa i fengsel: andre evalueringsrapport,,Evaluering,5a4573dc-fbe2-43b6-8e91-fe21d3f5785f,nob,2013,Underveisevaluering,Lov og rett,Oppdragsrapport,2013:18:00,Intervju,,,,,Personlig intervju,153087
Housing first i Norge,,Evaluering,5a73cf50-a9bf-43a8-8cd2-1b5bdba51e68,nob,2014,Tidsuavhengig evaluering,Bolig og eiendom,Fafo-rapport,2015:52:00,Intervju,Dokumentstudier,,,,,143210
Riksrevisjonens undersøkelse av toll-og avgiftsetatens virksomhetskontroll,,Riksrevisjonsrapport,5a7e3a3b-d722-4314-84f4-39424ea86701,nob,2004,Tidsuavhengig evaluering,Konstitusjonelle organer ,Dokument,3:7 (2003-2004),Intervju,Dokumentstudier,Statistikk,Observasjon,,,146913
22.jul.11,,Evaluering,5a943c6d-e031-4d06-a294-88386e6fb789,nob,2012,Etterevaluering,Lov og rett,POD-publikasjon,mar.12,Intervju,Spørreskjema,Dokumentstudier,Observasjon,,Kvantitative og kvalitative metoder,397565
Midterm evaluation of  FORINNPOL centres 2020,,Evaluering,5a9fe2b8-871f-4020-a41b-2a59c8568ea4,eng,2021,Underveisevaluering,Utdanning og forskning,,,Intervju,Dokumentstudier,,,,,70586
"Utfordringer innen kompetanse, opplæring og utvikling i duodji",,Evaluering,5aa20ac3-5491-4347-9fad-5adc249d33f3,nob,2008,Underveisevaluering,Utdanning og forskning,,,Intervju,Dokumentstudier,,,,,88853
Spørreundersøkelse om bruk av telefoni og Internett blant døve og hørselshemmede,,Evaluering,5ae436e0-d84c-4e11-89ee-b747beaffd9b,nob,2012,Tidsuavhengig evaluering,Transport og kommunikasjon,,,Spørreskjema,,,,,,114456
Riksrevisjonens undersøkelse av bærekraftig forvaltning av norske skogressurser,,Riksrevisjonsrapport,5ae5a151-ef6a-4653-96a7-ce9452c38b69,nob,2012,Etterevaluering,Konstitusjonelle organer ,Dokument,3:17 (2012-2013),Spørreskjema,Dokumentstudier,Statistikk,,,,315051
Vurdering av årsaker og medvirkende faktorer som kan resultere i akutt utslipp til sjø fra petroleumsvirksomhet i Nordsjøen og Skagerrak,,Evaluering,5ae85aed-5ce3-46bb-92cc-8e31ec0e0e74,nob,2012,Underveisevaluering,Offentlig forvaltning,,,Dokumentstudier,Statistikk,Observasjon,,,Metoden er utviklet i Ptil i samarbeid med konsulent og baserer seg på prinsippene Norsk Standard for Risikostyring - Prinsipper og retningslinjer,345582
Kan havørn begrense konflikter mellom ærfugl og blåskjelldyrking?,,Evaluering,5af230bd-6f0d-4e51-b7b5-d31ec9aa25bc,nob,2007,Etterevaluering,Miljø,NINA rapport,279,Observasjon,,,,,,25536
Anskaffelser av arbeidsmarkedstjenester,,Evaluering,5af3b978-eceb-4b0f-8aaf-750ea532163f,nob,2010,Etterevaluering,Arbeid og velferd,Econ-rapport,R-2010-089,Intervju,Spørreskjema,Dokumentstudier,Statistikk,,,279384
Brukerevaluering for operatører på kommunikasjonssentraler i Nødnett-utbyggingens trinn 1,,Evaluering,5afdf3d5-b273-470c-b483-b77e6a0396ae,nob,2010,Underveisevaluering,Offentlig forvaltning,,,Intervju,Dokumentstudier,,,,,86238
Riksrevisjonens undersøkelse av klagesaksbehandlingen ved fylkesmannsembetene,,Riksrevisjonsrapport,5b147948-5446-4020-a915-8948a807f460,nob,2001,Tidsuavhengig evaluering,Konstitusjonelle organer ,Dokument,3:12 (2000-2001),Intervju,Dokumentstudier,Statistikk,,,,137134
Evaluering av videreutdanning i psykisk helsearbeid,,Evaluering,5b1e37ba-2d46-4fcd-b75c-ff19fbcb3b96,nob,2007,Tidsuavhengig evaluering,Helse og omsorg,SINTEF rapport,A2954,Intervju,Spørreskjema,Dokumentstudier,,,,175206
Kartlegging av lærere uten formelle kvalifikasjoner,,Evaluering,5b205f22-8b09-4230-aaa7-4766a368c6fe,nob,2016,Tidsuavhengig evaluering,Utdanning og forskning,Rapport,2016:15:00,Intervju,Spørreskjema,Dokumentstudier,Statistikk,,Kvalitativ og kvantitativ metode,325046
Riksrevisjonens oppfølging av forvaltningsrevisjoner behandlet av Stortinget,,Riksrevisjonsrapport,5b261751-d114-4eed-b4cc-a44280627b8b,nob,2006,Etterevaluering,Konstitusjonelle organer ,Dokument,3:1 (2006-2007),Dokumentstudier,,,,,,45258
Naturfaglig evaluering av norske verneområder ,,Evaluering,5b3e3d20-416c-4abe-a3ce-844c6e6954c7,nob,2010,Etterevaluering,Miljø,NINA rapport,535,Dokumentstudier,Observasjon,,,,,694718
Sluttrapport fra følgeevaluering av programmet Lokal samfunnsutvikling i kommunene (LUK),,Evaluering,5b4b3ed2-0bde-495e-8b3d-a12706261fe1,nob,2015,Underveisevaluering,Kommuner og distrikter,TF-rapport,352,Intervju,Spørreskjema,Dokumentstudier,,,Spørreundersøkelse til alle landets kommuner. Telefonintervju med LUK-koordinatorene i fylkeskommunene. Fokusgruppeintervju med strategisk utvalgte kommuner.,512185
Resultatmåling av brukerstyrt forskning 2008,,Evaluering,5b4e102e-eeda-4a13-be2d-483fc71c7ce9,nob,2010,Underveisevaluering,Utdanning og forskning,Rapport,1005,,,,,,,206957
"Innsatte i norske fengsel: utdanningskvalitet, læringsstrategier og motivasjon",,Evaluering,5b4e4987-13dc-48d9-9ba3-cbe80c93a2c5,nno,2006,Tidsuavhengig evaluering,Offentlig forvaltning,,,Spørreskjema,,,,,,76331
Riksrevisjonens undersøkelse av myndighetenes arbeid med Arktisk råd,,Riksrevisjonsrapport,5b5c3795-25e3-4e75-b486-d24baf4b6a75,nob,2014,Tidsuavhengig evaluering,Konstitusjonelle organer ,Dokument / Riksrevisjonen,3:3(2014-2015),Intervju,Spørreskjema,Dokumentstudier,Statistikk,,,489335
Nye tider - nye takter?,,Evaluering,5b64afde-8164-437e-9842-2b7d905d96f9,nob,2009,Tidsuavhengig evaluering,"Kultur, fritid og livssyn",Rapport,2009:03:00,Intervju,Dokumentstudier,,,,,201678
European CO2 Test Centre Mongstad,,Evaluering,5b83cd85-0391-49be-8d0c-0bd71d93b91a,eng,2007,Forhåndsevaluering,Energi,Econ-Report,87/2007,Dokumentstudier,,,,,,83300
Evaluering av allmennlærerutdanningen i Norge 2006,https://www.nokut.no/contentassets/40568ec86aab411ba43c5a880ae339b5/alueva_hovedrapport.pdf,Evaluering,5b8ea8be-fdfc-4844-9a87-6d19f56a94b9,nob,2006,Tidsuavhengig evaluering,Utdanning og forskning,,,Intervju,Dokumentstudier,,,,,239547
Distriktskommunen som næringsutvikler,,Evaluering,5ba3eef4-05ad-4477-b51e-ec3b93841e5f,nob,2020,Samfunnsøkonomisk analyse,Kommuner og distrikter,,,Spørreskjema,,,,,,127655
Real-Time Evaluation of Norway’s International Climate and Forest Initiative : Contributions to National REDD+ Processes 2007-2010,,Evaluering,5be0e9f0-cd0a-4af0-bf63-dab89e35649e,eng,2010,Underveisevaluering,Internasjonalt,Evalueringsrapport,13/2010,Intervju,Spørreskjema,Dokumentstudier,,,,260287
Spørsmål til Skole-Norge våren 2016,,Evaluering,5be67a6a-f79f-42d5-b1f0-82b3ae4017c5,nob,2016,Tidsuavhengig evaluering,Utdanning og forskning,Rapport,2016:16:00,Spørreskjema,,,,,Kvantitativ,237396
Undersøkelse vedrørende ansvarsforhold m.m. for sikkerhet til sjøs,,Riksrevisjonsrapport,5c03d669-107b-42c0-b576-338c03293718,nob,1998,Tidsuavhengig evaluering,Konstitusjonelle organer ,Riksrevisjonens administrative rapporter,nr. 1 1998,Dokumentstudier,,,,,,92262
Evaluation,,Evaluering,5c048364-5d43-4ee8-b195-a1d3327c11e5,eng,2008,Underveisevaluering,Innvandring og inkludering,,,Intervju,Dokumentstudier,Observasjon,,,"Intervjuer med sentrale representanter, deltakelse på kommisjonsreise, i møter om forhåndsutvelgelse og på the Annual Tripartite Consultations. ",287902
Godt fundament : evaluering av handlingsplanen mot kjønnslemlestelse 2008-2011,,Evaluering,5c11c94a-1887-49dd-a036-0041d715ee4f,nob,2012,Etterevaluering,Innvandring og inkludering,,,Intervju,Dokumentstudier,Observasjon,,,"En bred tilnærming, dvs både kvantitativ og kvalitative nmetoder",214940
Sluttrapport,,Evaluering,5c562ee2-1d82-41a4-8bdc-403ea8568d8d,nob,2017,Underveisevaluering,Arbeid og velferd,,,Intervju,Statistikk,,,,Matched control-design,114347
Følgeevaluering av ARENA-programmet : rapport 4,,Evaluering,5c5d14d5-7f8c-4648-9dea-5ea8699bc965,swe,2005,Underveisevaluering,Næringsliv,,,Intervju,Spørreskjema,Dokumentstudier,Observasjon,,,148273
Utkantsatsingen,,Evaluering,5c6f8f87-476d-4649-9a5d-e675f40911b0,nob,2002,Underveisevaluering,Kommuner og distrikter,FOU-rapport,okt.02,Intervju,Spørreskjema,Dokumentstudier,Statistikk,Observasjon,,157035
Ex-post evaluation of the Research Programme on Latin America,,Evaluering,5ca2e7b2-64d5-4012-8555-f24feb8430f4,eng,2018,Etterevaluering,Utdanning og forskning,,,Intervju,Spørreskjema,Dokumentstudier,Statistikk,,,134487
Får vi nok personell til omsorgstjenestene?,,Evaluering,5caa58a0-40b4-4801-939e-95e051e74be0,nob,2012,Etterevaluering,Helse og omsorg,,,Dokumentstudier,,,,,,95056
Frakttilskudd kjøtt,,Evaluering,5cc2e245-661c-4452-8308-15119f1ad900,nob,2013,Underveisevaluering,"Mat, fisk og landbruk",Notat,2013-16,Intervju,Statistikk,,,,,191316
Dodecyl- and Tri-tert-butyl-phenol in Products in Norway,,Evaluering,5ce1ba09-9c45-4549-b2c5-7550c194fe81,eng,2011,Forhåndsevaluering,Miljø,,,Dokumentstudier,Observasjon,,,,,82894
Kommunikasjonen er kunsten,,Evaluering,5ce399a7-53a7-48bd-84e3-68172aaf54be,nob,2003,Underveisevaluering,"Kultur, fritid og livssyn",Arbeidsnotat,57/2003,Intervju,Dokumentstudier,Observasjon,,,,267327
Riksrevisjonens undersøkelse av tilbudet til voksne om grunnskoleopplæring og opplæring på videregående skolenivå,,Riksrevisjonsrapport,5cfe98b0-76fa-43a0-b794-b5611918b49a,nob,2008,Tidsuavhengig evaluering,Konstitusjonelle organer ,Dokument,3:14 (2007-2008),Intervju,Spørreskjema,Dokumentstudier,Statistikk,,,171022
Riksrevisjonens undersøkelse om strålingssikkerhet og beskyttelse av miljøet mot forurensning fra radioaktive kilder i Nordvest-Russland,,Riksrevisjonsrapport,5d0e965e-c2a4-4d33-9883-0aebba3559ed,nob,2010,Tidsuavhengig evaluering,Konstitusjonelle organer ,Dokument,3:9/2009-2010,Intervju,Dokumentstudier,,,,,641598
"""Det er fedt""",,Evaluering,5d2a6b1e-60d0-40bf-8c0b-d90cad416192,nob,2011,Etterevaluering,Utdanning og forskning,Rapport,feb.11,Dokumentstudier,Statistikk,,,,,159997
Virkninger av kjøpsavgifter og drivstoffavgifter på CO2-utslippet fra nye biler ,,Evaluering,5d2f0f36-67d4-4623-b9b7-dcde9fce9686,nob,2009,Underveisevaluering,Transport og kommunikasjon,,,Statistikk,,,,,Empirisk analyse,181552
Evaluering av tilskuddsordning for elektrisitetssparing i husholdninger ,,Evaluering,5d4d1b96-1d90-4ad1-915c-166f6f5da333,nob,2010,Underveisevaluering,Energi,,,Intervju,Spørreskjema,Dokumentstudier,,,,212602
"Utredning av forvaltningsregime for pristilskuddene:  Vurdering av rollefordeling, kontrollregime og muligheter for ansvarliggjøring av produsent",,Evaluering,5d7614c2-27a8-4162-b5aa-3c78f27a31aa,nob,2016,Underveisevaluering,"Mat, fisk og landbruk",Rapport,25/2016,Intervju,Dokumentstudier,Statistikk,,,,235157
Forskning om museer og arkiv,,Evaluering,5d76e082-a253-4630-bd4b-538165a4141f,nob,2013,Etterevaluering,"Kultur, fritid og livssyn",,,Intervju,Spørreskjema,Dokumentstudier,Observasjon,,Casemetodikk,144109
På vei til Brøset - evaluering av det åpne parallelle oppdraget,,Evaluering,5da44ae6-7896-49fd-950a-dd8a26b1f48e,nob,2011,Etterevaluering,Miljø,,,Intervju,Observasjon,,,,,73017
Riksrevisjonens rapport om den årlige revisjon og kontroll for budsjettåret 2006,,Riksrevisjonsrapport,5db1a552-288f-449f-b78d-7024d08fa7b7,nob,2007,Etterevaluering,Konstitusjonelle organer ,Dokument,1 (2007-2008),Dokumentstudier,,,,,,794731
